dept_airport,latitude,longitude
ABE,40.6521,-75.4408
ABI,32.4113,-99.6819
ABQ,35.0402,-106.6092
ABR,45.4491,-98.4218
ABY,31.5355,-84.1945
ACK,41.2531,-70.0602
ACT,31.6113,-97.2305
ACV,40.9781,-124.1086
ACY,39.4576,-74.5772
ADK,51.8779,-176.646
ADQ,57.7499,-152.4939
AEX,31.3274,-92.5486
AGS,33.369,-81.9644
AKN,58.6768,-156.6492
ALB,42.7481,-73.8029
ALO,42.5571,-92.4003
ALS,37.435,-105.8657
ALW,46.0949,-118.288
AMA,35.2194,-101.7067
ANC,61.1744,-149.9963
APN,45.0781,-83.5603
ART,43.9919,-76.0217
ASE,39.2232,-106.8691
ATL,33.6407,-84.4277
ATW,44.2581,-88.5191
AUS,30.2029,-97.6682
AVL,35.4362,-82.5418
AVP,41.3384,-75.7245
AZA,33.3078,-111.6556
AZO,42.2367,-85.5521
BDL,41.9389,-72.6832
BET,60.7798,-161.837
BFF,41.874,-103.595
BFL,35.4336,-119.056
BGM,42.2084,-75.9829
BGR,44.8074,-68.8281
BHM,33.5629,-86.7535
BIH,37.3731,-118.363
BIL,45.8077,-108.542
BIS,46.7727,-100.746
BJI,47.5097,-94.9337
BKG,36.5319,-93.2005
BLI,48.7927,-122.537
BLV,38.5452,-89.8352
BMI,40.4771,-88.9156
BNA,36.1249,-86.6782
BOI,43.5644,-116.222
BOS,42.3656,-71.0096
BPT,29.9508,-94.0207
BQK,31.2588,-81.4665
BQN,18.4949,-67.1294
BRD,46.3983,-94.1381
BRO,25.906,-97.4259
BRW,71.2854,-156.768
BTM,45.9548,-112.497
BTR,30.5329,-91.1496
BTV,44.4719,-73.1533
BUF,42.9405,-78.7322
BUR,34.2007,-118.359
BWI,39.1754,-76.6683
BZN,45.7775,-111.152
CAE,33.9389,-81.1195
CAK,40.9161,-81.4424
CDC,37.701,-113.098
CDV,60.4918,-145.478
CGI,37.2233,-89.5708
CHA,35.0353,-85.2038
CHO,38.1397,-78.4486
CHS,32.8986,-80.0405
CID,41.8847,-91.7109
CIU,46.2508,84.4724
CKB,39.2967,80.2281
CLE,41.4106,81.8498
CLL,30.5931,96.3663
CLT,35.2144,80.9473
CMH,39.997,82.8919
CMI,40.0393,88.2781
CMX,47.1684,88.4891
CNY,38.7648,109.7463
COD,44.5202,109.0247
COS,38.8058,104.7
COU,38.8181,92.2197
CPR,42.908,106.4647
CRP,27.7704,97.5012
CRW,38.3731,81.593
CSG,32.5163,84.9389
CVG,39.056,84.6622
CWA,44.7776,89.6668
CYS,41.1557,104.8118
DAB,29.1821,81.0556
DAL,32.8466,96.8517
DAY,39.9024,84.2194
DBQ,42.402,90.7095
DCA,38.8512,77.0403
DDC,37.7634,99.9657
DEC,39.834,88.8657
DEN,39.8561,104.6737
DFW,32.8998,97.0403
DHN,31.3213,85.4499
DIK,46.7974,102.802
DLG,59.0447,158.505
DLH,46.8421,92.1937
DRO,37.1515,107.7538
DRT,29.3742,100.9273
DSM,41.5339,93.6586
DTW,42.2125,83.3534
DVL,48.1143,98.9088
EAR,40.7269,98.9462
EAT,47.398,120.2047
EAU,44.8658,91.4843
ECP,30.3583,85.7956
EGE,39.6426,106.9179
EKO,40.8257,115.7897
ELM,42.1599,76.8916
ELP,31.7987,106.3964
ERI,42.082,80.1762
ESC,45.7227,87.0936
EUG,44.1246,123.2117
EVV,38.0369,87.5324
EWN,35.0731,77.0439
EWR,40.6895,74.1745
EYW,24.5561,81.7595
FAI,64.8166,147.856
FAR,46.9207,96.8156
FAT,36.7762,119.7181
FAY,34.9909,78.8803
FCA,48.3097,114.2568
FLG,35.1389,111.671
FLL,26.0729,80.1528
FLO,34.1854,79.7237
FNT,42.9654,83.7436
FOD,42.5513,94.1929
FSD,43.582,96.7418
FSM,35.3366,94.3674
FWA,40.9785,85.1951
GCC,44.3489,105.5394
GCK,37.928,100.7244
GEG,47.6199,117.5333
GFK,47.9493,97.1766
GGG,32.3835,94.7116
GJT,39.1224,108.5266
GNV,29.6901,82.2718
GPT,30.4073,89.0708
GRB,44.4851,88.1296
GRI,40.9675,98.3098
GRK,31.0618,97.8289
GRR,42.8851,85.5299
GSO,36.1057,79.9406
GSP,34.8957,82.2189
GST,58.4243,135.7075
GTF,47.482,111.3708
GTR,33.4503,88.5914
GUC,38.5339,106.9336
GUM,13.4834,144.7967
HDN,40.4812,107.2178
HGR,39.7079,77.7295
HHH,32.2244,80.6975
HIB,47.3866,92.8387
HLN,46.6068,111.9826
HNL,21.3187,157.9224
HOB,32.6886,103.2178
HOU,29.6454,95.2789
HPN,41.0689,73.7076
HRL,26.2285,97.6544
HSV,34.6437,86.7751
HTS,38.3667,-82.5568
HYA,41.6693,-70.2802
HYS,38.8428,-99.2732
IAD,38.9445,-77.4558
IAG,43.1073,-78.9462
IAH,29.9844,-95.3414
ICT,37.6499,-97.4331
IDA,43.5146,-112.0709
ILG,39.6787,-75.6065
ILM,34.2706,-77.9025
IMT,45.8184,-88.1145
IND,39.7173,-86.2944
INL,48.5662,-93.4031
ISP,40.7953,-73.1002
ITH,42.4911,-76.4586
ITO,19.7214,-155.0485
JAC,43.6073,-110.7377
JAN,32.3112,-90.0759
JAX,30.4941,-81.6879
JFK,40.6398,-73.7789
JLN,37.1518,-94.4983
JMS,46.9258,-98.6783
JNU,58.355,-134.576
JST,40.3161,-78.8339
KOA,19.7388,-156.0456
KTN,55.3556,-131.7137
LAN,42.7787,-84.5874
LAR,41.3121,-105.6759
LAS,36.08,-115.1522
LAW,34.5677,-98.4166
LAX,33.9416,-118.4085
LBB,33.6636,-101.8228
LBE,40.2759,-79.4048
LBF,41.1262,-100.6847
LBL,37.0442,-100.959
LCH,30.1261,-93.2233
LCK,39.8138,-82.9278
LEX,38.0386,-84.6059
LFT,30.2053,-91.9877
LGA,40.7772,-73.8726
LGB,33.8177,-118.152
LIH,21.976,-159.338
LIT,34.7294,-92.2243
LNK,40.8509,-96.7592
LRD,27.5438,-99.4616
LSE,43.8788,-91.2568
LWB,37.8583,-80.3995
LWS,46.3745,-117.015
LYH,37.3267,-79.2017
MAF,31.9425,-102.202
MBS,43.5329,-84.0797
MCI,39.2976,-94.7139
MCO,28.4294,-81.3089
MCW,43.1578,-93.3315
MDT,40.1935,-76.7634
MDW,41.7859,-87.7524
MEI,32.3326,-88.7518
MEM,35.0424,-89.9767
MFE,26.1758,-98.2386
MFR,42.3742,-122.873
MGM,32.3006,-86.3939
MHK,39.1425,-96.6708
MHT,42.9326,-71.4357
MIA,25.7953,-80.2906
MKE,42.9476,-87.8966
MKG,43.1695,-86.2382
MLB,28.1028,-80.6451
MLI,41.4485,-90.5075
MLU,32.5109,-92.0377
MOB,30.6914,-88.2428
MOT,48.2594,-101.281
MQT,46.3536,-87.3954
MRY,36.587,-121.843
MSN,43.1399,-89.3375
MSO,46.9163,-114.091
MSP,44.882,-93.2218
MSY,29.9844,-90.2567
MTJ,38.5007,-107.895
MVY,41.3931,-70.6143
MYR,33.6823,-78.9283
OAJ,34.8292,-77.6121
OAK,37.7213,-122.221
OGD,41.1951,-112.012
OGG,20.8987,-156.43
OGS,44.6819,-75.4652
OKC,35.3931,-97.6007
OMA,41.3032,-95.8942
OME,64.5122,-165.443
ONT,34.0633,-117.65
ORD,41.9742,-87.9073
ORF,36.8946,-76.2012
ORH,42.2673,-71.8757
OTH,43.4171,-124.246
OTZ,66.8847,-162.598
OWB,37.7401,-87.1668
PAE,47.9063,-122.282
PAH,37.0613,-88.7738
PBG,44.6509,-73.4681
PBI,26.6832,-80.0956
PDX,45.5887,-122.592
PGD,26.9201,-81.9905
PGV,35.6354,-77.3854
PHF,37.1319,-76.492
PHL,39.8718,-75.2411
PHX,33.4373,-112.031
PIA,40.6642,-89.6933
PIB,31.4672,-89.3367
PIE,27.9102,-82.6873
PIH,42.9098,-112.5969
PIT,40.4915,-80.2329
PLN,45.5709,-84.7967
PNS,30.4734,-87.1866
PPG,14.331,-170.7105
PQI,46.6889,-68.0448
PRC,34.6545,-112.4193
PSC,46.2647,-119.119
PSE,18.0083,-66.563
PSG,56.8017,-132.9453
PSM,43.1736,-70.8834
PSP,33.8234,-116.5076
PUB,38.2897,-104.4967
PUW,46.7439,-117.1064
PVD,41.7326,-71.4204
PVU,40.2181,-111.7235
PWM,43.6462,-70.3093
RAP,44.0453,-103.0578
RDD,40.5089,-122.2934
RDM,44.2541,-121.1504
RDU,35.8776,-78.7875
RFD,42.1954,-89.0973
RHI,45.6312,-89.4675
RIC,37.5052,-77.3197
RIW,43.0642,-108.4556
RKS,41.5942,-109.0659
RNO,39.4991,-119.7681
ROA,37.3178,-79.9754
ROC,43.1189,-77.6723
ROW,33.3016,-104.5306
RST,43.9083,-92.4975
RSW,26.5362,-81.7552
SAF,35.6165,-106.0889
SAN,32.7336,-117.1897
SAT,29.5337,-98.4698
SAV,32.1276,-81.2023
SBA,34.4252,-119.8403
SBN,41.7075,-86.3169
SBP,35.2368,-120.6425
SBY,38.3405,-75.5105
SCC,70.1948,-148.4652
SCE,40.8518,-77.8463
SCK,37.8942,-121.2389
SDF,38.1744,-85.736
SEA,47.4502,-122.3088
SFB,28.7776,-81.2378
SFO,37.6189,-122.375
SGF,37.2444,-93.3887
SGU,37.0375,-113.5106
SHD,38.2639,-78.8964
SHR,44.7692,-106.9806
SHV,32.4466,-93.8256
SIT,57.0471,-135.3617
SJC,37.3626,-121.9291
SJT,31.3578,-100.4963
SJU,18.4394,-66.0018
SLC,40.7884,-111.9778
SLN,38.791,-97.6522
SMF,38.6954,-121.5908
SMX,34.8989,-120.4573
SNA,33.6757,-117.8678
SPI,39.8441,-89.6779
SPN,15.119,145.7294
SPS,33.9888,-98.4919
SRQ,27.3954,-82.5544
STC,45.5466,-94.0582
STL,38.7492,-90.3706
STS,38.5089,-122.8138
STT,18.3373,-64.9734
STX,17.7019,-64.7986
SUN,43.5067,-114.2967
SUX,42.3917,-96.3844
SWF,41.5041,-74.1048
SWO,34.0028,-97.3614
SYR,43.1112,-76.1063
TBN,37.7416,-92.1407
TLH,30.3965,-84.3503
TOL,41.5868,-83.8078
TPA,27.9756,-82.5333
TRI,36.4751,-82.4075
TTN,40.2767,-74.8136
TUL,36.1984,-95.8881
TUS,32.1161,-110.941
TVC,44.7414,-85.5822
TWF,42.4818,-114.4877
TXK,33.4543,-93.991
TYR,32.3541,-95.4021
TYS,35.8109,-83.994
USA,33.9726,-98.5069
VCT,28.8526,-96.9185
VEL,40.4409,-109.5117
VLD,30.7825,-83.2767
VPS,30.4833,-86.5254
WRG,56.4843,-132.3698
WYS,44.6884,-111.1172
XNA,36.2819,-94.3068
XWA,48.2607,-101.2805
YAK,59.5034,-139.6602
YKM,46.5682,-120.544
YUM,32.6566,-114.6059